topic,difficulty,question,option_a,option_b,option_c,correct_answer,explanation
Machine Learning,1,What does ML stand for?,Meta Learning,Model Logic,Multilayer Learning,Machine Learning,"ML stands for Machine Learning, a subset of AI that learns from data."
Machine Learning,1,Which learning type uses labeled data?,Unsupervised,Reinforcement,Self-supervised,Supervised,Supervised learning trains on labeled input-output pairs.
Machine Learning,2,What is overfitting?,Model too simple,Model ignores data,Model trains too fast,Model memorizes training data,Overfitting occurs when a model learns noise and fails to generalize.
Machine Learning,2,What is a feature in ML?,Output label,Model weight,Bias term,Input variable,Features are the input variables used to make predictions.
Machine Learning,2,What is cross-validation?,Training technique,Data cleaning,Model compression,Model evaluation technique,Cross-validation evaluates model performance by splitting data into multiple folds.
Machine Learning,3,What is the bias-variance tradeoff?,Speed vs accuracy,Training vs test split,Precision vs recall,Underfitting vs overfitting balance,High bias causes underfitting; high variance causes overfitting.
Machine Learning,3,What does regularization do?,Speeds up training,Increases complexity,Adds more data,Prevents overfitting,Regularization adds a penalty term to reduce model complexity.
Machine Learning,3,What is gradient descent?,A dataset split,Evaluation metric,A neural layer,Optimization algorithm,Gradient descent minimizes loss by iteratively updating parameters.
Machine Learning,4,What is the kernel trick in SVM?,Data normalization,Reduces features,Removes outliers,Maps data to higher dimensions,The kernel trick implicitly maps data to higher-dimensional space.
Machine Learning,4,What is ensemble learning?,Single model training,Feature selection,Data augmentation,Combining multiple models,Ensemble methods combine predictions from multiple models to improve accuracy.
Machine Learning,4,What does the ROC curve measure?,Regression accuracy,Clustering quality,Feature importance,Binary classifier performance,ROC curve plots true positive rate vs false positive rate for classifiers.
Machine Learning,5,What is the VC dimension?,Model accuracy,Learning rate,Training loss,Measure of model capacity,VC dimension measures the capacity of a hypothesis class.
Machine Learning,5,What is PAC learning?,Partial Accuracy Computation,Predictive Accuracy Check,Probabilistic Accuracy Criterion,Probabilistic Approximate Correct learning,PAC learning defines conditions under which a learning algorithm can generalize.
Machine Learning,3,What is a confusion matrix?,Loss function,Optimization method,Weight matrix,Table of prediction vs actual results,"A confusion matrix shows TP, TN, FP, FN counts for classification evaluation."
Machine Learning,2,What is the train-test split?,Model type,Feature engineering,Hyperparameter tuning,Dividing data for training and evaluation,Train-test split separates data to train the model and evaluate its generalization.
Deep Learning,1,What is a neural network?,A database,A sorting algorithm,A file system,Layers of interconnected nodes,Neural networks are composed of layers of nodes that learn representations from data.
Deep Learning,1,What is an activation function?,Loss function,Weight initializer,Optimizer,Introduces non-linearity,Activation functions introduce non-linearity enabling networks to learn complex patterns.
Deep Learning,2,What does ReLU stand for?,Random Linear Update,Recursive Learning Unit,Regularized Loss Unit,Rectified Linear Unit,"ReLU outputs max(0,x), solving the vanishing gradient problem."
Deep Learning,2,What is backpropagation?,Forward pass,Data augmentation,Weight initialization,Algorithm to compute gradients,Backpropagation computes gradients of the loss using the chain rule.
Deep Learning,2,What is dropout?,Data removal,Activation function,Learning rate decay,Regularization technique,Dropout randomly deactivates neurons during training to prevent overfitting.
Deep Learning,3,What is batch normalization?,Batch size selection,Data preprocessing,Weight clipping,Normalizes layer inputs,Batch normalization normalizes activations within a mini-batch to stabilize training.
Deep Learning,3,What is a loss function?,Model architecture,Optimizer,Activation function,Measures prediction error,The loss function quantifies the difference between predicted and actual outputs.
Deep Learning,3,What is transfer learning?,Training from scratch,Data transfer,Model pruning,Reusing pretrained model weights,Transfer learning leverages knowledge from a pretrained model for a new task.
Deep Learning,4,What is the vanishing gradient problem?,Exploding weights,Slow data loading,Memory overflow,Gradients become too small in deep networks,"In deep networks, gradients shrink exponentially during backprop."
Deep Learning,4,What is an autoencoder?,Supervised classifier,Reinforcement agent,Recurrent network,Unsupervised encoder-decoder network,Autoencoders learn compressed representations by encoding then decoding input data.
Deep Learning,5,What is the attention mechanism?,Data filtering,Gradient clipping,Weight decay,Weighs importance of input parts,Attention allows models to focus on relevant parts of the input.
Deep Learning,5,What is a residual connection?,Dropout variant,Batch norm variant,Pooling layer,Skip connection adding input to output,Residual connections add the input directly to the output enabling very deep networks.
Deep Learning,3,What is an embedding layer?,Pooling layer,Convolutional layer,Recurrent layer,Maps discrete tokens to dense vectors,Embedding layers convert categorical inputs like words into dense vector representations.
Deep Learning,4,What is knowledge distillation?,Data augmentation,Ensemble method,Hyperparameter search,Training small model to mimic large model,Knowledge distillation compresses a large teacher model into a smaller student model.
Neural Networks,1,What is a perceptron?,Multi-layer network,Recurrent unit,Convolutional filter,Single-layer binary classifier,A perceptron is the simplest neural network unit performing binary classification.
Neural Networks,1,What is a weight in a neural network?,Bias term,Activation value,Loss value,Learnable parameter,Weights are learnable parameters determining connection strength between neurons.
Neural Networks,2,What is the output range of sigmoid?,0 to infinity,-1 to 1,-infinity to infinity,0 to 1,The sigmoid function maps any real value to a range between 0 and 1.
Neural Networks,2,What is a hidden layer?,Input layer,Output layer,Embedding layer,Layer between input and output,Hidden layers learn abstract representations of the input data.
Neural Networks,3,What is the softmax function used for?,Binary classification,Regression,Clustering,Multi-class probability output,Softmax converts raw scores to probabilities that sum to 1.
Neural Networks,3,What does a convolutional layer do?,Reduces dimensions,Normalizes inputs,Applies dropout,Applies filters to detect features,Convolutional layers apply learnable filters to detect local patterns.
Neural Networks,3,What is pooling in CNNs?,Weight update,Normalization,Feature expansion,Downsampling feature maps,Pooling reduces spatial dimensions while retaining important features.
Neural Networks,4,What problem does LSTM solve?,Overfitting,Slow training,Exploding gradients,Long-term dependency problem in RNNs,LSTM uses gates to selectively remember or forget information over long sequences.
Neural Networks,4,What does the forget gate in LSTM do?,Add new information,Output final value,Reset hidden state,Decide what to discard from cell state,The forget gate controls what information from the previous cell state is discarded.
Neural Networks,5,What is a GAN?,Graph Attention Network,Gated Activation Node,Gradient Averaging Network,Generative Adversarial Network,GANs consist of a generator and discriminator trained adversarially.
Neural Networks,5,What is mode collapse in GANs?,Training instability,Discriminator overfits,Generator overfits,Generator produces limited variety,Mode collapse occurs when the GAN generator produces only a few types of outputs.
Neural Networks,2,What is weight initialization?,Setting final weights,Updating weights,Pruning weights,Setting initial weight values,Proper weight initialization prevents vanishing/exploding gradients at training start.
NLP,1,What does NLP stand for?,Neural Learning Protocol,Numeric Logic Processing,Natural Language Parsing,Natural Language Processing,NLP is the field of AI focused on enabling computers to understand human language.
NLP,1,What is tokenization?,Model training,Data labeling,Feature extraction,Splitting text into tokens,"Tokenization splits text into words, subwords, or characters for processing."
NLP,2,What is a word embedding?,One-hot encoding,Bag of words,TF-IDF vector,Dense vector representation of words,Word embeddings map words to dense vectors capturing semantic relationships.
NLP,2,What does Word2Vec learn?,Sentence structure,Grammar rules,Syntax trees,Word embeddings from context,Word2Vec learns word embeddings by predicting context words using a shallow neural network.
